Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Weatherconditions,Type_of_vehicle,Road_traffic_density,multiple_deliveries,Time_taken(min),distance,order_hour,pickup_hour,day_of_week,is_weekend,month
33.0,5.0,19.254567,72.848923,19.364567,72.958923,2022-03-31,Sandstorms,motorcycle ,Low ,0.0,24,16.790293751513897,23.0,23,Thursday,0,3
36.0,4.9,18.55144,73.804855,18.59144,73.844855,2022-03-17,Fog,scooter ,Medium ,1.0,17,6.118069582492733,15.0,15,Thursday,0,3
21.0,4.8,25.449659,81.839744,25.469659,81.859744,2022-02-15,Sandstorms,electric_scooter ,Low ,0.0,14,2.992439854305071,10.0,10,Tuesday,0,2
39.0,4.9,30.372202,78.077151,30.422202,78.127151,2022-02-15,Stormy,motorcycle ,Jam ,1.0,30,7.335684979628153,20.0,21,Tuesday,0,2
39.0,4.6,12.972793,80.249982,13.062793,80.339982,2022-03-16,Cloudy,scooter ,Jam ,1.0,36,13.944598794232531,20.0,20,Wednesday,0,3
22.0,4.7,21.157735,72.768778,21.197735,72.808778,2022-03-17,Sunny,scooter ,High ,1.0,18,6.071959804867507,12.0,12,Thursday,0,3
32.0,4.6,21.186438,72.794115,21.226438,72.834115,2022-03-15,Fog,scooter ,Medium ,0.0,17,6.071422120848535,15.0,15,Tuesday,0,3
30.0,4.7,12.935662,77.61413,12.975662,77.65413,2022-03-11,Fog,scooter ,Unknown,0.0,19,6.1983397369141935,19.0,15,Friday,0,3
26.0,4.7,17.431477,78.40035,17.491477,78.46035,2022-03-05,Fog,motorcycle ,Low ,0.0,10,9.204061108012812,23.0,0,Saturday,1,3
35.0,4.1,13.064181,80.236442,13.154181,80.326442,2022-03-12,Sandstorms,motorcycle ,Jam ,2.0,37,13.942135995521298,20.0,20,Saturday,1,3
39.0,4.6,12.933298,77.614293,13.023298,77.704293,2022-03-29,Fog,scooter ,Jam ,2.0,44,13.945658037651098,20.0,21,Tuesday,0,3
34.0,4.7,22.311358,73.164798,22.351358,73.204798,2022-03-19,Windy,electric_scooter ,High ,1.0,28,6.049848888721861,12.0,12,Saturday,1,3
27.0,4.7,12.934365,77.616155,13.044365,77.726155,2022-03-10,Cloudy,scooter ,Jam ,1.0,42,17.04433026158702,21.0,21,Thursday,0,3
25.0,4.4,13.086438,80.220672,13.196438,80.330672,2022-03-27,Cloudy,scooter ,Medium ,1.0,39,17.039320664078645,18.0,18,Sunday,1,3
25.0,4.7,19.254567,72.848923,19.364567,72.958923,2022-03-27,Stormy,motorcycle ,Medium ,0.0,20,16.790293751513897,18.0,18,Sunday,1,3
30.0,5.0,26.913483,75.803139,26.933483,75.823139,2022-03-24,Stormy,motorcycle ,High ,1.0,31,2.976038261804114,11.0,11,Thursday,0,3
24.0,4.6,17.411028,78.329645,17.471028,78.389645,2022-03-09,Stormy,motorcycle ,Jam ,0.0,13,9.204543446314432,20.0,20,Wednesday,0,3
39.0,4.8,18.516216,73.842527,18.566216,73.892527,2022-03-03,Stormy,motorcycle ,Jam ,1.0,28,7.648215327844156,21.0,22,Thursday,0,3
25.0,4.8,15.5696,73.742294,15.6096,73.782294,2022-02-15,Windy,scooter ,High ,1.0,19,6.164026189217134,12.0,12,Tuesday,0,2
37.0,4.6,19.876428,75.364792,19.956428,75.444792,2022-02-18,Fog,motorcycle ,Low ,2.0,42,12.189899417672075,23.0,23,Friday,0,2
24.0,5.0,12.939496,77.625999,12.949496,77.635999,2022-03-01,Fog,motorcycle ,Low ,1.0,23,1.5496181081271545,10.0,10,Tuesday,0,3
25.0,4.2,17.433809,78.386744,17.543809,78.496744,2022-03-23,Stormy,motorcycle ,Jam ,1.0,39,16.872927418719993,21.0,21,Wednesday,0,3
32.0,4.6,23.374878,85.335739,23.384878,85.345739,2022-04-01,Stormy,motorcycle ,Low ,1.0,25,1.507218847377163,10.0,10,Friday,0,4
38.0,4.9,22.74806,75.8934,22.76806,75.9134,2022-03-11,Cloudy,scooter ,Low ,1.0,15,3.020706639820848,8.0,8,Friday,0,3
36.0,4.8,26.891191,75.802083,26.981191,75.892083,2022-03-14,Sunny,electric_scooter ,Medium ,0.0,15,13.391515800864784,17.0,17,Monday,0,3
25.0,5.0,21.160437,72.774209,21.270437,72.884209,2022-03-18,Stormy,motorcycle ,Jam ,1.0,15,16.695945260595646,20.0,20,Friday,0,3
29.0,5.0,12.316967,76.603067,12.366967,76.653067,2022-04-01,Sunny,motorcycle ,Low ,0.0,18,7.756832982430433,22.0,22,Friday,0,4
36.0,4.7,18.927584,72.832585,19.017584,72.922585,2022-04-04,Sandstorms,electric_scooter ,Low ,0.0,29,13.75048466722894,23.0,23,Monday,0,4
33.0,4.7,11.022298,76.998349,11.072298,77.048349,2022-03-11,Fog,motorcycle ,Low ,0.0,20,7.774259486970199,23.0,23,Friday,0,3
36.0,4.4,12.325461,76.632278,12.365461,76.672278,2022-03-13,Cloudy,scooter ,High ,1.0,39,6.205426791185968,12.0,12,Sunday,1,3
21.0,4.8,18.530963,73.828972,18.640963,73.938972,2022-03-04,Windy,motorcycle ,Low ,0.0,19,16.824024800777703,23.0,23,Friday,0,3
25.0,4.8,17.458998,78.500366,17.488998,78.530366,2022-03-26,Cloudy,scooter ,Low ,1.0,19,4.601882860108752,23.0,0,Saturday,1,3
23.0,4.8,19.1813,72.836191,19.3113,72.966191,2022-03-16,Windy,motorcycle ,Low ,0.0,17,19.846613904419858,22.0,23,Wednesday,0,3
25.0,4.6,11.022477,76.995667,11.032477,77.005667,2022-03-01,Stormy,motorcycle ,Low ,1.0,15,1.55490238236473,10.0,10,Tuesday,0,3
24.0,4.3,22.727021,75.884167,22.747021,75.904167,2022-03-15,Sandstorms,motorcycle ,Low ,0.0,19,3.020916215301368,8.0,9,Tuesday,0,3
27.0,4.6,12.979166,77.640709,13.069166,77.730709,2022-03-04,Sandstorms,motorcycle ,Jam ,1.0,29,13.94442758388673,21.0,21,Friday,0,3
23.0,4.8,18.994237,72.825553,19.104237,72.935553,2022-03-18,Cloudy,scooter ,Low ,1.0,22,16.80256330471995,22.0,22,Friday,0,3
21.0,4.3,12.284747,76.625861,12.414747,76.755861,2022-03-23,Fog,scooter ,Jam ,0.0,42,20.16747676677057,20.0,20,Wednesday,0,3
27.0,4.7,21.175975,72.795503,21.195975,72.815503,2022-03-15,Sandstorms,scooter ,Low ,0.0,12,3.035902790349682,10.0,11,Tuesday,0,3
32.0,4.2,11.000762,76.981876,11.130762,77.111876,2022-03-08,Cloudy,motorcycle ,Jam ,1.0,38,20.212460530271784,20.0,20,Tuesday,0,3
25.0,4.6,21.173343,72.792731,21.283343,72.902731,2022-03-10,Sunny,motorcycle ,Low ,1.0,23,16.6952795873628,23.0,23,Thursday,0,3
39.0,4.7,26.479108,80.315042,26.499108,80.335042,2022-02-11,Cloudy,scooter ,Low ,0.0,15,2.980982302644137,10.0,10,Friday,0,2
27.0,4.6,21.175104,72.804342,21.255104,72.884342,2022-03-14,Sunny,motorcycle ,Low ,1.0,24,12.142518774381282,23.0,23,Monday,0,3
39.0,3.8,19.176269,72.836721,19.286269,72.946721,2022-03-16,Windy,motorcycle ,Jam ,0.0,37,16.79399979607481,19.0,20,Wednesday,0,3
31.0,4.8,12.975377,77.696664,13.025377,77.746664,2022-03-01,Sandstorms,scooter ,Low ,0.0,24,7.747259356563763,22.0,22,Tuesday,0,3
31.0,4.8,23.359194,85.325447,23.419194,85.385447,2022-03-01,Sunny,electric_scooter ,Low ,0.0,13,9.043027721349308,23.0,23,Tuesday,0,3
20.0,4.8,12.297954,76.665169,12.307954,76.675169,2022-03-30,Cloudy,motorcycle ,Low ,0.0,16,1.5514770796415485,9.0,9,Wednesday,0,3
36.0,4.9,23.359407,85.325055,23.439407,85.405055,2022-03-02,Cloudy,motorcycle ,Medium ,1.0,42,12.056953151950662,18.0,18,Wednesday,0,3
20.0,4.9,23.416792,85.316842,23.506792,85.406842,2022-03-20,Sandstorms,motorcycle ,Low ,1.0,17,13.561204009757525,22.0,22,Sunday,1,3
24.0,4.6,26.892312,75.806896,26.922313,75.836896,2022-04-03,Cloudy,motorcycle ,Jam ,0.0,25,4.464417671579878,20.0,21,Sunday,1,4
30.0,4.7,22.31279,73.170283,22.42279,73.280283,2022-04-02,Fog,electric_scooter ,Unknown,0.0,25,16.635116893700506,19.0,18,Saturday,1,4
39.0,4.2,22.761593,75.886362,22.871593,75.996362,2022-03-29,Fog,scooter ,Medium ,0.0,39,16.610672955997153,18.0,18,Tuesday,0,3
37.0,4.8,11.026117,76.944652,11.066117,76.984652,2022-03-17,Sunny,scooter ,High ,0.0,18,6.219419664894865,14.0,15,Thursday,0,3
32.0,4.9,13.064181,80.236442,13.104181,80.276442,2022-03-17,Sandstorms,motorcycle ,Medium ,1.0,28,6.196805343667927,16.0,17,Thursday,0,3
22.0,4.5,26.483042,80.317833,26.533042,80.367833,2022-02-15,Sandstorms,scooter ,Low ,1.0,18,7.4519201744257,22.0,22,Tuesday,0,2
23.0,4.9,11.000762,76.981876,11.130762,77.111876,2022-03-18,Windy,scooter ,Low ,0.0,18,20.212460530271784,0.0,0,Friday,0,3
33.0,4.7,23.359033,85.325347,23.469033,85.435347,2022-03-08,Fog,scooter ,Jam ,1.0,49,16.577488524535227,21.0,21,Tuesday,0,3
23.0,4.7,22.569358,88.433452,22.599358,88.463452,2022-02-17,Sunny,motorcycle ,Low ,0.0,15,4.53364788897892,23.0,23,Thursday,0,2
27.0,4.6,12.914264,77.6784,12.994264,77.7584,2022-03-31,Sunny,motorcycle ,Low ,1.0,21,12.396712257294284,23.0,23,Thursday,0,3
34.0,4.7,19.121999,72.908493,19.161999,72.948493,2022-03-01,Sunny,scooter ,High ,0.0,23,6.108440050157439,14.0,14,Tuesday,0,3
26.0,5.0,21.157729,72.768726,21.167729,72.778726,2022-04-03,Fog,scooter ,Low ,1.0,11,1.5180601842214017,10.0,10,Sunday,1,4
31.0,4.6,22.311603,73.165012,22.371603,73.225012,2022-03-24,Cloudy,motorcycle ,Jam ,0.0,25,9.074471773144202,21.0,21,Thursday,0,3
32.0,4.9,18.536562,73.896485,18.556562,73.916485,2022-03-07,Fog,motorcycle ,Low ,0.0,18,3.059241752280784,8.0,8,Monday,0,3
27.0,4.7,22.745536,75.893106,22.765536,75.913106,2022-03-09,Cloudy,motorcycle ,Low ,0.0,14,3.020731790895242,9.0,9,Wednesday,0,3
21.0,4.9,12.933298,77.614293,13.023298,77.704293,2022-03-12,Windy,motorcycle ,Medium ,2.0,36,13.945658037651098,17.0,18,Saturday,1,3
28.0,4.8,12.939496,77.625999,12.989496,77.675999,2022-03-24,Fog,motorcycle ,Low ,1.0,18,7.747793362638613,23.0,23,Thursday,0,3
33.0,4.4,17.426228,78.407495,17.436228,78.417495,2022-03-05,Sandstorms,motorcycle ,Low ,1.0,28,1.534129114265342,8.0,8,Saturday,1,3
20.0,4.6,12.934365,77.616155,13.024365,77.706155,2022-03-18,Fog,motorcycle ,Jam ,0.0,44,13.945629461520332,20.0,20,Friday,0,3
31.0,4.3,11.003669,76.976494,11.063669,77.036494,2022-03-13,Windy,motorcycle ,Low ,1.0,20,9.329319541894728,23.0,23,Sunday,1,3
30.0,4.7,18.543626,73.905101,18.573626,73.935101,2022-03-09,Stormy,scooter ,Low ,0.0,19,4.588712137571156,19.0,23,Wednesday,0,3
36.0,5.0,22.311358,73.164798,22.381358,73.234798,2022-03-31,Fog,motorcycle ,Jam ,1.0,35,10.586720360323753,19.0,20,Thursday,0,3
31.0,4.2,12.986047,80.218114,13.096047,80.328114,2022-03-23,Sandstorms,motorcycle ,Jam ,1.0,50,17.042634005428827,21.0,21,Wednesday,0,3
39.0,4.1,17.41233,78.449654,17.47233,78.509654,2022-03-24,Stormy,scooter ,Jam ,1.0,34,9.204512751051547,21.0,21,Thursday,0,3
29.0,4.6,21.17106,72.789292,21.25106,72.869292,2022-03-12,Sunny,electric_scooter ,Jam ,1.0,17,12.142670416282549,19.0,19,Saturday,1,3
29.0,4.6,21.186884,72.793616,21.226884,72.833616,2022-03-03,Sandstorms,scooter ,High ,0.0,23,6.071413761024368,14.0,15,Thursday,0,3
37.0,4.9,11.026117,76.944652,11.056117,76.974652,2022-03-09,Fog,motorcycle ,Medium ,1.0,27,4.6646029783419385,18.0,18,Wednesday,0,3
31.0,3.9,19.065838,72.832658,19.135838,72.902658,2022-03-18,Cloudy,scooter ,Low ,1.0,35,10.69100092566136,23.0,23,Friday,0,3
26.0,4.4,12.98041,77.640489,13.04041,77.700489,2022-03-07,Sandstorms,motorcycle ,Low ,0.0,23,9.296531667508525,23.0,23,Monday,0,3
24.0,4.6,11.022477,76.995667,11.132477,77.105667,2022-03-04,Stormy,motorcycle ,Medium ,0.0,30,17.10252275797518,17.0,18,Friday,0,3
39.0,4.8,12.310972,76.659264,12.350972,76.699264,2022-04-01,Cloudy,motorcycle ,High ,1.0,28,6.205591081602371,12.0,12,Friday,0,4
20.0,4.7,11.025083,77.015393,11.105083,77.095393,2022-03-20,Sandstorms,motorcycle ,Medium ,1.0,24,12.438452034187614,17.0,17,Sunday,1,3
20.0,5.0,12.316967,76.603067,12.446967,76.733067,2022-03-31,Cloudy,motorcycle ,Jam ,1.0,36,20.166286848244525,19.0,19,Thursday,0,3
29.0,4.3,22.538731,88.364878,22.598731,88.424878,2022-02-13,Sandstorms,motorcycle ,Low ,0.0,28,9.067759514408271,23.0,23,Sunday,1,2
36.0,4.8,11.001753,76.986241,11.111753,77.096241,2022-03-29,Fog,motorcycle ,Medium ,1.0,31,17.103104604488404,18.0,18,Tuesday,0,3
36.0,4.0,22.310237,73.158921,22.400237,73.248921,2022-03-16,Sunny,motorcycle ,Jam ,3.0,44,13.611105169020725,20.0,20,Wednesday,0,3
22.0,4.8,23.359033,85.325347,23.439033,85.405347,2022-03-14,Windy,scooter ,Low ,1.0,15,12.056968418188385,22.0,22,Monday,0,3
38.0,4.4,18.593481,73.785901,18.663481,73.855901,2022-03-31,Windy,motorcycle ,Medium ,1.0,33,10.704957546119868,17.0,17,Thursday,0,3
39.0,4.9,21.186438,72.794115,21.236438,72.844115,2022-03-17,Fog,motorcycle ,Jam ,0.0,30,7.5891604266055,19.0,20,Thursday,0,3
24.0,4.9,22.725748,75.898497,22.775748,75.948497,2022-03-28,Stormy,scooter ,Medium ,1.0,22,7.551948584727422,18.0,18,Monday,0,3
35.0,4.8,17.450851,78.379347,17.540851,78.469347,2022-03-04,Fog,motorcycle ,Medium ,3.0,48,13.804873199406153,17.0,17,Friday,0,3
33.0,4.5,13.081878,80.248519,13.171878,80.338519,2022-03-04,Stormy,electric_scooter ,Low ,1.0,19,13.941657178556436,23.0,0,Friday,0,3
39.0,4.7,10.035573,76.336958,10.105573,76.406958,2022-02-14,Windy,motorcycle ,Medium ,1.0,21,10.900635211617388,18.0,18,Monday,0,2
31.0,4.3,22.308096,73.167753,22.388096,73.247753,2022-03-25,Windy,motorcycle ,Jam ,0.0,44,12.099040609551,21.0,21,Friday,0,3
37.0,4.5,12.975996,80.221898,12.985996,80.231898,2022-03-17,Windy,scooter ,Low ,0.0,26,1.54950962213959,8.0,8,Thursday,0,3
37.0,4.7,12.3085,76.665808,12.3385,76.695808,2022-04-01,Windy,scooter ,Low ,1.0,26,4.654256824131882,22.0,22,Friday,0,4
33.0,5.0,19.178321,72.834715,19.188321,72.844715,2022-03-19,Windy,motorcycle ,High ,1.0,31,1.5269331229160863,11.0,11,Saturday,1,3
33.0,4.5,26.910262,75.783013,26.990262,75.863013,2022-03-02,Sunny,scooter ,Jam ,0.0,18,11.902924672837509,19.0,19,Wednesday,0,3
39.0,4.7,25.443994,81.860187,25.513994,81.930187,2022-02-16,Fog,motorcycle ,Medium ,1.0,38,10.472797742862058,18.0,19,Wednesday,0,2
37.0,4.6,23.359194,85.325447,23.449194,85.415447,2022-03-29,Cloudy,motorcycle ,Medium ,1.0,32,13.563852221699795,18.0,18,Tuesday,0,3
25.0,4.9,17.458998,78.500366,17.508998,78.550366,2022-03-07,Sandstorms,scooter ,Low ,1.0,17,7.669607815933412,22.0,22,Monday,0,3
28.0,4.8,18.530963,73.828972,18.590963,73.888972,2022-03-03,Fog,scooter ,Medium ,1.0,11,9.177365744557306,19.0,19,Thursday,0,3
38.0,4.7,12.321214,76.621094,12.361214,76.661094,2022-03-30,Windy,motorcycle ,High ,1.0,31,6.205474967025106,13.0,13,Wednesday,0,3
30.0,4.7,26.913483,75.803139,26.983483,75.873139,2022-03-12,Sandstorms,motorcycle ,Medium ,0.0,43,10.41513064614557,19.0,17,Saturday,1,3
31.0,4.6,12.3085,76.665808,12.3685,76.725808,2022-03-19,Windy,motorcycle ,Medium ,0.0,25,9.30825848212404,17.0,18,Saturday,1,3
25.0,4.8,19.055831,72.833984,19.115831,72.893984,2022-03-15,Cloudy,motorcycle ,Jam ,1.0,22,9.164099415262326,19.0,20,Tuesday,0,3
35.0,4.9,12.337928,76.617889,12.407928,76.687889,2022-03-02,Fog,motorcycle ,Jam ,3.0,43,10.858950700039363,21.0,21,Wednesday,0,3
39.0,4.7,23.351489,85.324253,23.421489,85.394253,2022-03-31,Fog,motorcycle ,Jam ,1.0,42,10.550295445173376,19.0,19,Thursday,0,3
38.0,3.9,22.728163,75.884212,22.808163,75.964212,2022-03-06,Stormy,motorcycle ,Jam ,0.0,42,12.082423061297098,19.0,19,Sunday,1,3
35.0,4.7,13.026286,80.275235,13.056286,80.305235,2022-03-21,Fog,motorcycle ,Jam ,1.0,34,4.647989333607506,21.0,21,Monday,0,3
29.0,4.7,26.766536,75.837333,26.786536,75.857333,2022-03-01,Sandstorms,motorcycle ,Low ,1.0,17,2.977717993714077,9.0,10,Tuesday,0,3
27.0,4.6,21.149834,72.778666,21.179834,72.808666,2022-03-24,Stormy,scooter ,Jam ,0.0,25,4.5541509794301644,20.0,20,Thursday,0,3
38.0,4.3,12.3085,76.665808,12.3985,76.755808,2022-04-04,Sandstorms,motorcycle ,Jam ,1.0,54,13.96200434395474,21.0,21,Monday,0,4
